Cores;N_train;N_test;N_regressor;Total_time;Assemble_time;Solve_time;Predict_time;Error;5
128;70000;5000;100;503.474424;25.975463;477.475548;0.023412;0.004625;
128;70000;5000;100;513.236297;26.384480;486.829289;0.022526;0.004625;
128;70000;5000;100;525.428571;27.216060;498.186361;0.026147;0.004625;
128;70000;5000;100;499.554130;26.057767;473.473579;0.022783;0.004625;
128;70000;5000;100;544.371019;26.363702;517.987289;0.020027;0.004625;
128;80000;5000;100;748.272252;35.211300;713.032071;0.028880;0.004605;
128;80000;5000;100;819.043667;34.865449;784.143202;0.035014;0.004605;
128;80000;5000;100;797.024460;34.417366;762.571120;0.035972;0.004605;
128;80000;5000;100;773.098209;34.765023;738.295267;0.037913;0.004605;
128;80000;5000;100;763.261979;33.788257;729.451649;0.022071;0.004605;
128;90000;5000;100;1034.242688;43.861830;990.347010;0.033846;0.004587;
128;90000;5000;100;1087.476451;43.706375;1043.736751;0.033324;0.004587;
128;90000;5000;100;1060.560826;43.526287;1017.009991;0.024545;0.004587;
128;90000;5000;100;1049.255191;37.138508;1012.095866;0.020816;0.004587;
128;90000;5000;100;1041.508326;42.367815;999.120147;0.020362;0.004587;
128;100000;5000;100;1396.602384;54.955263;1341.619600;0.027519;0.004567;
128;100000;5000;100;1432.458714;53.762179;1378.665303;0.031231;0.004567;
128;100000;5000;100;1464.674648;53.705603;1410.940506;0.028536;0.004567;
128;100000;5000;100;1409.554433;52.698396;1356.821560;0.034471;0.004567;
128;100000;5000;100;1430.519024;53.140732;1377.352650;0.025640;0.004567;
